<<<<<<< HEAD
点群が入力されてopen3dへ変換するまでの時間は : 0.15461421012878418秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5106523036956787秒
点群が入力されてopen3dへ変換するまでの時間は : 0.19928383827209473秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4859912395477295秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1628551483154297秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47956275939941406秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1503925323486328秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4995579719543457秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15310263633728027秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5077028274536133秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1580219268798828秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4843263626098633秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15565896034240723秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4559187889099121秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15639543533325195秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5279257297515869秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15173959732055664秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4322338104248047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.19834613800048828秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5104081630706787秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16216301918029785秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5391745567321777秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16077303886413574秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5201184749603271秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15267324447631836秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48258352279663086秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15479588508605957秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4994502067565918秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1512749195098877秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4363539218902588秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15576767921447754秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48944878578186035秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1775832176208496秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4960360527038574秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16044855117797852秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5630404949188232秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15344643592834473秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5455150604248047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15847253799438477秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4972960948944092秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1505439281463623秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5643155574798584秒
点群が入力されてopen3dへ変換するまでの時間は : 0.19216156005859375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5110609531402588秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1584165096282959秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5152111053466797秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15268802642822266秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5453031063079834秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17110228538513184秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47647905349731445秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15600943565368652秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48462772369384766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1522202491760254秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48264551162719727秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15691399574279785秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4714477062225342秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15150761604309082秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5078473091125488秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1544795036315918秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4498624801635742秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15487360954284668秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5234074592590332秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1555464267730713秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49294042587280273秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1585235595703125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4853556156158447秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15389513969421387秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4584381580352783秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15461063385009766秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5184850692749023秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1520371437072754秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49698758125305176秒
点群が入力されてopen3dへ変換するまでの時間は : 0.19191670417785645秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49939608573913574秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15607070922851562秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4899027347564697秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1627976894378662秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5341818332672119秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15382146835327148秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5095417499542236秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15519452095031738秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5451579093933105秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16675043106079102秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4755585193634033秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15461945533752441秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49058032035827637秒
点群が入力されてopen3dへ変換するまでの時間は : 0.19197940826416016秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5059902667999268秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18348383903503418秒
ネットワークから姿勢データを得るまでの時間は　 : 0.45631980895996094秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15161943435668945秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5131182670593262秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16005444526672363秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5099737644195557秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15548944473266602秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5225908756256104秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15117478370666504秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5290637016296387秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15288805961608887秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5249309539794922秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15725970268249512秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4759500026702881秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16054463386535645秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5901610851287842秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17854881286621094秒
ネットワークから姿勢データを得るまでの時間は　 : 0.43947672843933105秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1662766933441162秒
ネットワークから姿勢データを得るまでの時間は　 : 0.501246452331543秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15556836128234863秒
ネットワークから姿勢データを得るまでの時間は　 : 0.550161600112915秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15615367889404297秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5336029529571533秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17341160774230957秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5167949199676514秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20812702178955078秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4860799312591553秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1547250747680664秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5185678005218506秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1554090976715088秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5386555194854736秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15565848350524902秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5075478553771973秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15494060516357422秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5003459453582764秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1589961051940918秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5323612689971924秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1535816192626953秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5280535221099854秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16417479515075684秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47776031494140625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15658187866210938秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4734916687011719秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15587282180786133秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48996496200561523秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15439391136169434秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48499488830566406秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15918493270874023秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4900963306427002秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15716552734375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5027782917022705秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1511385440826416秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4995307922363281秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18720459938049316秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4880349636077881秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16400957107543945秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5208852291107178秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15407013893127441秒
ネットワークから姿勢データを得るまでの時間は　 : 0.46990394592285156秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15026497840881348秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47519683837890625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20819997787475586秒
ネットワークから姿勢データを得るまでの時間は　 : 0.522045373916626秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15696358680725098秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4751598834991455秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15566110610961914秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5500926971435547秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1751112937927246秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48430371284484863秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17532730102539062秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5058391094207764秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15113401412963867秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5141990184783936秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15239381790161133秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5169064998626709秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15186810493469238秒
ネットワークから姿勢データを得るまでの時間は　 : 0.45874762535095215秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15610384941101074秒
ネットワークから姿勢データを得るまでの時間は　 : 0.468367338180542秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15449929237365723秒
ネットワークから姿勢データを得るまでの時間は　 : 0.44304323196411133秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15236902236938477秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4750814437866211秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15654420852661133秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5840895175933838秒
点群が入力されてopen3dへ変換するまでの時間は : 0.154083251953125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4896121025085449秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16042089462280273秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5012032985687256秒
点群が入力されてopen3dへ変換するまでの時間は : 0.168290376663208秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5061018466949463秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15775609016418457秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4996602535247803秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1563727855682373秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5941295623779297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1516878604888916秒
ネットワークから姿勢データを得るまでの時間は　 : 0.46250081062316895秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1528172492980957秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5039973258972168秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15433168411254883秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48509740829467773秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15742897987365723秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48336100578308105秒
点群が入力されてopen3dへ変換するまでの時間は : 0.21003389358520508秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001588582992553711秒
=======
変数の定義の時間は                        : 0.04713106155395508秒
model_loaderの処理時間は                 : 0.03990364074707031秒
点群が入力されてopen3dへ変換するまでの時間は : 0.007320404052734375秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004942417144775391秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02706313133239746秒
Denormalizedが終了するまでの時間は         : 9.512901306152344e-05秒
tf_publisherが終了するまでの時間は         : 0.0235140323638916秒
1ループ目の処理時間は    　                : 0.058510541915893555秒


点群が入力されてopen3dへ変換するまでの時間は : 0.007330179214477539秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005080699920654297秒
ネットワークから姿勢データを得るまでの時間は　 : 0.030284404754638672秒
Denormalizedが終了するまでの時間は         : 2.4080276489257812e-05秒
tf_publisherが終了するまでの時間は         : 0.09422874450683594秒
2ループ目の処理時間は    　                : 0.13240599632263184秒


点群が入力されてopen3dへ変換するまでの時間は : 0.00705265998840332秒
getNormalizedPcdの処理時間は  　　　    　: 0.000576019287109375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.026714563369750977秒
Denormalizedが終了するまでの時間は         : 3.695487976074219e-05秒
tf_publisherが終了するまでの時間は         : 0.02385401725769043秒
3ループ目の処理時間は    　                : 0.05826282501220703秒


点群が入力されてopen3dへ変換するまでの時間は : 0.0058803558349609375秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005705356597900391秒
ネットワークから姿勢データを得るまでの時間は　 : 0.03927779197692871秒
Denormalizedが終了するまでの時間は         : 3.147125244140625e-05秒
tf_publisherが終了するまでの時間は         : 0.05687451362609863秒
4ループ目の処理時間は    　                : 0.10267353057861328秒


点群が入力されてopen3dへ変換するまでの時間は : 0.009003639221191406秒
getNormalizedPcdの処理時間は  　　　    　: 0.0007762908935546875秒
ネットワークから姿勢データを得るまでの時間は　 : 0.022125720977783203秒
Denormalizedが終了するまでの時間は         : 3.457069396972656e-05秒
tf_publisherが終了するまでの時間は         : 0.02534627914428711秒
5ループ目の処理時間は    　                : 0.05733060836791992秒


点群が入力されてopen3dへ変換するまでの時間は : 0.0054433345794677734秒
getNormalizedPcdの処理時間は  　　　    　: 0.0003228187561035156秒
ネットワークから姿勢データを得るまでの時間は　 : 0.020961523056030273秒
Denormalizedが終了するまでの時間は         : 3.266334533691406e-05秒
tf_publisherが終了するまでの時間は         : 0.025032520294189453秒
6ループ目の処理時間は    　                : 0.05182075500488281秒


点群が入力されてopen3dへ変換するまでの時間は : 0.017820119857788086秒
getNormalizedPcdの処理時間は  　　　    　: 0.0014500617980957031秒
ネットワークから姿勢データを得るまでの時間は　 : 0.03174591064453125秒
Denormalizedが終了するまでの時間は         : 2.8848648071289062e-05秒
tf_publisherが終了するまでの時間は         : 0.027751922607421875秒
7ループ目の処理時間は    　                : 0.07886004447937012秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006083011627197266秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005333423614501953秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02991175651550293秒
Denormalizedが終了するまでの時間は         : 3.695487976074219e-05秒
tf_publisherが終了するまでの時間は         : 0.024329423904418945秒
8ループ目の処理時間は    　                : 0.06092071533203125秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006107330322265625秒
getNormalizedPcdの処理時間は  　　　    　: 0.0006175041198730469秒
ネットワークから姿勢データを得るまでの時間は　 : 0.023040056228637695秒
Denormalizedが終了するまでの時間は         : 5.054473876953125e-05秒
tf_publisherが終了するまでの時間は         : 0.16989827156066895秒
9ループ目の処理時間は    　                : 0.19974875450134277秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006718873977661133秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005006790161132812秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02658987045288086秒
Denormalizedが終了するまでの時間は         : 3.0994415283203125e-05秒
tf_publisherが終了するまでの時間は         : 0.025938987731933594秒
10ループ目の処理時間は    　                : 0.059808969497680664秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006574392318725586秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005490779876708984秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02569413185119629秒
Denormalizedが終了するまでの時間は         : 2.6226043701171875e-05秒
tf_publisherが終了するまでの時間は         : 0.027294635772705078秒
11ループ目の処理時間は    　                : 0.0601656436920166秒


点群が入力されてopen3dへ変換するまでの時間は : 0.011893987655639648秒
getNormalizedPcdの処理時間は  　　　    　: 0.0007283687591552734秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0836181640625秒
Denormalizedが終了するまでの時間は         : 2.9802322387695312e-05秒
tf_publisherが終了するまでの時間は         : 0.027981042861938477秒
12ループ目の処理時間は    　                : 0.12429022789001465秒


点群が入力されてopen3dへ変換するまでの時間は : 0.0077228546142578125秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004775524139404297秒
ネットワークから姿勢データを得るまでの時間は　 : 0.023702621459960938秒
Denormalizedが終了するまでの時間は         : 3.0040740966796875e-05秒
tf_publisherが終了するまでの時間は         : 0.02752995491027832秒
13ループ目の処理時間は    　                : 0.05951523780822754秒


点群が入力されてopen3dへ変換するまでの時間は : 0.00468754768371582秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005002021789550781秒
ネットワークから姿勢データを得るまでの時間は　 : 0.03259587287902832秒
Denormalizedが終了するまでの時間は         : 2.86102294921875e-05秒
tf_publisherが終了するまでの時間は         : 0.023967266082763672秒
14ループ目の処理時間は    　                : 0.06187844276428223秒


点群が入力されてopen3dへ変換するまでの時間は : 0.0178987979888916秒
getNormalizedPcdの処理時間は  　　　    　: 0.0029256343841552734秒
ネットワークから姿勢データを得るまでの時間は　 : 0.05721545219421387秒
Denormalizedが終了するまでの時間は         : 5.602836608886719e-05秒
tf_publisherが終了するまでの時間は         : 0.02577686309814453秒
15ループ目の処理時間は    　                : 0.10408353805541992秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005486488342285156秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005867481231689453秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02805018424987793秒
Denormalizedが終了するまでの時間は         : 4.267692565917969e-05秒
tf_publisherが終了するまでの時間は         : 0.023540019989013672秒
16ループ目の処理時間は    　                : 0.05773496627807617秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005496025085449219秒
getNormalizedPcdの処理時間は  　　　    　: 0.0006084442138671875秒
ネットワークから姿勢データを得るまでの時間は　 : 0.023295164108276367秒
Denormalizedが終了するまでの時間は         : 0.00010037422180175781秒
tf_publisherが終了するまでの時間は         : 0.1621716022491455秒
17ループ目の処理時間は    　                : 0.19170188903808594秒


点群が入力されてopen3dへ変換するまでの時間は : 0.009010076522827148秒
getNormalizedPcdの処理時間は  　　　    　: 0.0008313655853271484秒
ネットワークから姿勢データを得るまでの時間は　 : 0.027161836624145508秒
Denormalizedが終了するまでの時間は         : 2.574920654296875e-05秒
tf_publisherが終了するまでの時間は         : 0.025182247161865234秒
18ループ目の処理時間は    　                : 0.062247276306152344秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005169391632080078秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004901885986328125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.030283689498901367秒
Denormalizedが終了するまでの時間は         : 3.981590270996094e-05秒
tf_publisherが終了するまでの時間は         : 0.023275136947631836秒
19ループ目の処理時間は    　                : 0.05928182601928711秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006312131881713867秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004074573516845703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.047066688537597656秒
Denormalizedが終了するまでの時間は         : 7.128715515136719e-05秒
tf_publisherが終了するまでの時間は         : 0.0674135684967041秒
20ループ目の処理時間は    　                : 0.12129998207092285秒


点群が入力されてopen3dへ変換するまでの時間は : 0.004942178726196289秒
getNormalizedPcdの処理時間は  　　　    　: 0.00044083595275878906秒
ネットワークから姿勢データを得るまでの時間は　 : 0.027359724044799805秒
Denormalizedが終了するまでの時間は         : 2.3603439331054688e-05秒
tf_publisherが終了するまでの時間は         : 0.026314973831176758秒
21ループ目の処理時間は    　                : 0.0591130256652832秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005135536193847656秒
getNormalizedPcdの処理時間は  　　　    　: 0.0003845691680908203秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02975153923034668秒
Denormalizedが終了するまでの時間は         : 2.5272369384765625e-05秒
tf_publisherが終了するまでの時間は         : 0.02438497543334961秒
22ループ目の処理時間は    　                : 0.0597076416015625秒


点群が入力されてopen3dへ変換するまでの時間は : 0.012832164764404297秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005357265472412109秒
ネットワークから姿勢データを得るまでの時間は　 : 0.07209897041320801秒
Denormalizedが終了するまでの時間は         : 3.910064697265625e-05秒
tf_publisherが終了するまでの時間は         : 0.03131675720214844秒
23ループ目の処理時間は    　                : 0.1168968677520752秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005338191986083984秒
getNormalizedPcdの処理時間は  　　　    　: 0.0003833770751953125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.030046701431274414秒
Denormalizedが終了するまでの時間は         : 3.719329833984375e-05秒
tf_publisherが終了するまでの時間は         : 0.025971174240112305秒
24ループ目の処理時間は    　                : 0.06180119514465332秒


点群が入力されてopen3dへ変換するまでの時間は : 0.007982492446899414秒
getNormalizedPcdの処理時間は  　　　    　: 0.0007491111755371094秒
ネットワークから姿勢データを得るまでの時間は　 : 0.025311708450317383秒
Denormalizedが終了するまでの時間は         : 3.337860107421875e-05秒
tf_publisherが終了するまでの時間は         : 0.17081332206726074秒
25ループ目の処理時間は    　                : 0.20492100715637207秒


点群が入力されてopen3dへ変換するまでの時間は : 0.013789892196655273秒
getNormalizedPcdの処理時間は  　　　    　: 0.0013055801391601562秒
ネットワークから姿勢データを得るまでの時間は　 : 0.033005475997924805秒
Denormalizedが終了するまでの時間は         : 2.765655517578125e-05秒
tf_publisherが終了するまでの時間は         : 0.028162479400634766秒
26ループ目の処理時間は    　                : 0.07638955116271973秒


点群が入力されてopen3dへ変換するまでの時間は : 0.007620811462402344秒
getNormalizedPcdの処理時間は  　　　    　: 0.000507354736328125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.027353763580322266秒
Denormalizedが終了するまでの時間は         : 0.00011110305786132812秒
tf_publisherが終了するまでの時間は         : 0.02659440040588379秒
27ループ目の処理時間は    　                : 0.06221485137939453秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005415916442871094秒
getNormalizedPcdの処理時間は  　　　    　: 0.0003559589385986328秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02124810218811035秒
Denormalizedが終了するまでの時間は         : 5.245208740234375e-05秒
tf_publisherが終了するまでの時間は         : 0.040148258209228516秒
28ループ目の処理時間は    　                : 0.06724858283996582秒


点群が入力されてopen3dへ変換するまでの時間は : 0.004916667938232422秒
getNormalizedPcdの処理時間は  　　　    　: 0.0003292560577392578秒
ネットワークから姿勢データを得るまでの時間は　 : 0.030205249786376953秒
Denormalizedが終了するまでの時間は         : 2.765655517578125e-05秒
tf_publisherが終了するまでの時間は         : 0.02632904052734375秒
29ループ目の処理時間は    　                : 0.06183290481567383秒


点群が入力されてopen3dへ変換するまでの時間は : 0.00859212875366211秒
getNormalizedPcdの処理時間は  　　　    　: 0.0007295608520507812秒
ネットワークから姿勢データを得るまでの時間は　 : 0.023444652557373047秒
Denormalizedが終了するまでの時間は         : 6.127357482910156e-05秒
tf_publisherが終了するまでの時間は         : 0.0260922908782959秒
30ループ目の処理時間は    　                : 0.058977603912353516秒


点群が入力されてopen3dへ変換するまでの時間は : 0.015034675598144531秒
getNormalizedPcdの処理時間は  　　　    　: 0.001592397689819336秒
ネットワークから姿勢データを得るまでの時間は　 : 0.05093026161193848秒
Denormalizedが終了するまでの時間は         : 2.9087066650390625e-05秒
tf_publisherが終了するまでの時間は         : 0.027382612228393555秒
31ループ目の処理時間は    　                : 0.0951375961303711秒


点群が入力されてopen3dへ変換するまでの時間は : 0.004941463470458984秒
getNormalizedPcdの処理時間は  　　　    　: 0.0007624626159667969秒
ネットワークから姿勢データを得るまでの時間は　 : 0.026679277420043945秒
Denormalizedが終了するまでの時間は         : 5.793571472167969e-05秒
tf_publisherが終了するまでの時間は         : 0.025518417358398438秒
32ループ目の処理時間は    　                : 0.057997941970825195秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005814790725708008秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004622936248779297秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02474188804626465秒
Denormalizedが終了するまでの時間は         : 7.319450378417969e-05秒
tf_publisherが終了するまでの時間は         : 0.1649618148803711秒
33ループ目の処理時間は    　                : 0.19608473777770996秒


点群が入力されてopen3dへ変換するまでの時間は : 0.009275674819946289秒
getNormalizedPcdの処理時間は  　　　    　: 0.0010685920715332031秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02424454689025879秒
Denormalizedが終了するまでの時間は         : 4.3392181396484375e-05秒
tf_publisherが終了するまでの時間は         : 0.029633045196533203秒
34ループ目の処理時間は    　                : 0.06430602073669434秒


点群が入力されてopen3dへ変換するまでの時間は : 0.007106304168701172秒
getNormalizedPcdの処理時間は  　　　    　: 0.0007843971252441406秒
ネットワークから姿勢データを得るまでの時間は　 : 0.022712230682373047秒
Denormalizedが終了するまでの時間は         : 3.075599670410156e-05秒
tf_publisherが終了するまでの時間は         : 0.025272369384765625秒
35ループ目の処理時間は    　                : 0.055957794189453125秒


点群が入力されてopen3dへ変換するまでの時間は : 0.0046787261962890625秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004947185516357422秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0220491886138916秒
Denormalizedが終了するまでの時間は         : 7.05718994140625e-05秒
tf_publisherが終了するまでの時間は         : 0.024200439453125秒
36ループ目の処理時間は    　                : 0.0515294075012207秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005357027053833008秒
getNormalizedPcdの処理時間は  　　　    　: 0.0006501674652099609秒
